index,loan_id,disp_id,type,loan_acc_number,acc_open_date,acc_closure_date,duration_months,principal_,outstanding,interest_rate
247,369,2363,Home Loan,6.56458e+15,2019-11-08,,36,56000,41140.65,13.02
888,674,4360,Home Loan,4918866148154682.0,2023-12-28,,36,80000,21798.01,11.84
35,724,4701,Home Loan,4194087989507277.0,2023-01-27,,36,20000,4609.56,9.23
409,387,2481,Home Loan,4.5277675819192776e+18,2022-04-18,,36,28000,13749.04,8.46
59,461,2977,Home Loan,6574951849043085.0,2023-08-21,,36,47000,583.15,7.35
631,89,497,Home Loan,348524414390062.0,2023-04-22,,36,62000,2382.33,12.45
60,239,1453,Home Loan,6.55984e+15,2023-08-24,,36,79000,42581.71,11.77
828,429,2709,Home Loan,4411868416843733.0,2023-11-05,,36,75000,41260.36,15.76
597,529,3357,Home Loan,4.1914722663640443e+18,2023-02-27,,36,21000,18300.08,11.74
428,305,1914,Home Loan,4339874017963.0,2022-05-23,,36,22000,5626.49,12.37
542,532,3382,Home Loan,4846346908877555.0,2022-11-30,,36,22000,13185.96,6.32
582,340,2155,Home Loan,4551277297640236.0,2023-01-25,,36,98000,47207.1,7.24
76,230,1388,Home Loan,4.88621e+15,2023-10-25,,36,66000,54709.29,9.53
438,353,2259,Home Loan,4.8001505989057331e+18,2022-06-11,,36,52000,11800.09,7.2
378,714,4638,Home Loan,6011012470987743.0,2022-01-09,,36,97000,80498.24,8.37
30,382,2445,Home Loan,4424384479698639.0,2022-11-22,,36,93000,2308.53,12.54
70,255,1579,Home Loan,4034935953925525.0,2023-10-01,,36,2000,1408.63,7.71
40,269,1718,Home Loan,3588931336069018.0,2023-03-22,,36,19000,5404.77,7.82
283,699,4532,Home Loan,341222464988250.0,2020-09-26,,36,11000,1132.18,13.52
647,645,4166,Home Loan,6011784592124724.0,2023-05-17,,36,76000,61547.35,9.36
261,737,4791,Home Loan,3530537085445058.0,2020-04-13,,36,92000,61920.62,7.37
50,475,3075,Home Loan,4.638394162013826e+18,2023-05-31,,36,38000,6224.71,15.37
804,792,5526,Home Loan,2276206251114753.0,2023-10-11,,36,37000,20539.06,13.62
410,226,1378,Home Loan,3549240614963225.0,2022-04-18,,36,17000,5950.71,6.76
78,445,2820,Home Loan,30469597311092.0,2023-11-19,,36,70000,17912.83,14.66
699,66,425,Home Loan,4848784266281309.0,2023-07-08,,36,89000,18896.47,11.63
343,1087,10887,Home Loan,630455596134.0,2021-10-06,,36,82000,31328.13,15.28
72,1,9,Home Loan,4.8978977638968842e+18,2023-10-16,,36,100000,8169.98,13.28
395,199,1213,Home Loan,180055728657939.0,2022-02-07,,36,2000,1940.35,12.56
550,536,3404,Home Loan,4854486795228.0,2022-12-13,,36,74000,46727.21,8.85
426,847,6610,Home Loan,30165917695145.0,2022-05-20,,36,77000,39362.59,12.05
62,1195,12787,Home Loan,4502426950090284.0,2023-09-04,,36,36000,1771.96,12.6
356,1014,9452,Home Loan,30304845485416.0,2021-11-02,,36,87000,893.81,11.82
592,391,2493,Home Loan,3527377882693211.0,2023-02-24,,36,26000,9781.06,15.53
310,37,238,Home Loan,4161099412617.0,2021-04-20,,36,8000,4289.65,12.66
15,184,1089,Home Loan,4.6500707038741289e+18,2022-06-03,,36,68000,23167.22,12.26
500,206,1243,Home Loan,6.50525e+15,2022-09-22,,48,58000,47083.07,6.81
365,300,1890,Home Loan,378472788211246.0,2021-11-20,,48,99000,39798.42,14.25
752,702,4543,Home Loan,4.79546e+15,2023-08-30,,48,22000,16170.36,11.5
848,178,1057,Home Loan,30400239938828.0,2023-11-21,,48,32000,6798.88,11.38
416,730,4749,Home Loan,4080725536712273.0,2022-05-02,,48,37000,9295.15,10.9
533,555,3544,Home Loan,4.7438788917570744e+18,2022-11-19,,48,21000,13215.45,9.73
751,1023,9621,Home Loan,213137281391931.0,2023-08-30,,48,90000,27489.12,15.14
21,546,3465,Home Loan,4.1593030208128184e+18,2022-08-19,,48,45000,16660.85,14.61
689,627,3994,Home Loan,4.133272936998487e+18,2023-07-05,,48,26000,6692.25,9.28
337,890,7422,Home Loan,2576583087226226.0,2021-09-08,,48,84000,74243.73,11.89
717,525,3337,Home Loan,676210306095.0,2023-07-27,,48,62000,34983.82,15.61
38,100,562,Home Loan,4.9169756862126254e+18,2023-02-21,,48,25000,24488.62,8.84
383,850,6644,Home Loan,2282550664451415.0,2022-01-16,,48,87000,3139.75,6.91
249,483,3115,Home Loan,3529085354276898.0,2019-11-24,,48,18000,9378.57,11.91
740,406,2548,Home Loan,3541417109272274.0,2023-08-16,,48,18000,11293.28,8.6
14,617,3944,Home Loan,30116657048540.0,2022-04-09,,48,70000,42988.66,11.75
243,181,1066,Home Loan,3540928663182593.0,2019-08-19,,48,17000,228.45,15.03
28,11,79,Home Loan,4141803607245155.0,2022-10-25,,48,16000,11428.11,10.86
835,742,4833,Home Loan,372575734762199.0,2023-11-10,,48,63000,18331.27,8.95
26,638,4100,Home Loan,370999249246534.0,2022-10-14,,48,75000,22109.03,15.02
562,566,3606,Home Loan,6011651561126677.0,2022-12-25,,48,67000,29533.75,8.97
65,544,3448,Home Loan,4814577388590445.0,2023-09-10,,48,21000,6481.73,12.67
42,52,326,Home Loan,501891257104.0,2023-04-10,,48,18000,11531.29,7.5
58,538,3414,Home Loan,3594784926173811.0,2023-08-20,,48,78000,4622.66,12.76
324,1233,13382,Home Loan,4563402845302.0,2021-07-06,,48,93000,74915.78,14.73
772,1024,9622,Home Loan,3521911171505268.0,2023-09-20,,48,75000,57202.06,11.0
4,427,2688,Home Loan,4069675852020212.0,2021-01-25,,48,35000,5778.09,10.49
832,217,1316,Home Loan,4.9409105283352463e+18,2023-11-09,,48,18000,142.42,6.23
22,182,1067,Home Loan,2299271668618831.0,2022-08-31,,48,99000,60372.94,7.5
25,874,7127,Home Loan,3575763952648147.0,2022-10-07,,48,80000,54332.35,9.51
604,276,1765,Home Loan,6547411059809349.0,2023-03-07,,48,75000,67138.85,6.42
811,339,2154,Home Loan,583856374017.0,2023-10-19,,48,98000,87052.82,14.95
786,956,8502,Home Loan,3572774245770088.0,2023-09-30,,48,25000,20826.3,14.87
77,253,1536,Home Loan,213197919212883.0,2023-11-14,,48,93000,47173.86,6.66
74,488,3134,Home Loan,3521815647457006.0,2023-10-20,,48,74000,10690.91,7.15
637,680,4417,Home Loan,676358607650.0,2023-04-29,,48,70000,33201.02,13.88
41,444,2815,Home Loan,4.8655229593858642e+18,2023-04-03,,60,96000,92090.31,11.02
809,74,453,Home Loan,213166926892565.0,2023-10-18,,60,4000,1302.36,12.22
479,598,3821,Home Loan,4206402855738516.0,2022-08-23,,60,43000,27107.45,10.02
325,407,2555,Home Loan,213134444457477.0,2021-07-11,,60,59000,47438.88,9.24
279,136,778,Home Loan,3508984013117649.0,2020-07-28,,60,53000,51613.51,8.92
86,486,3128,Home Loan,4.9794687512511386e+18,2023-12-25,,60,61000,32388.21,8.16
